Razer Book 13 11Gen 4K TOUCH,i7-11세대,16,512,2599000,1340,13.4,내장
MSI 써밋 B15 A11M WIN10,i7-11세대,16,512,1213930,1600,15.6,내장
Razer BLADE STEALTH 13 11Gen G1650Ti OLED,i7-11세대,16,512,3099000,1410,13.3,외장
MSI 프레스티지 14 EVO A11M-i7 WIN10,i7-11세대,16,512,1349000,1290,14,내장
레노버 아이디어패드 Slim5-15ITL Premiere Plus i5 WIN10,i5-11세대,16,256,1049000,1690,15.6,외장
삼성전자 갤럭시북 플렉스2 NT950QDA-XD71Z,i7-11세대,16,1000,2623580,1570,15.6,외장
삼성전자 노트북 플러스 NT550XCR-AD2A WIN10 8GB램,펜티엄 골드,8,1000,780000,1810,15.6,내장
삼성전자 노트북 플러스 NT550XCR-AD2A WIN10,펜티엄 골드,4,256,696560,1810,15.6,내장
LG전자 2020 울트라PC 15U50N-LR26K,펜티엄 골드,4,256,665990,1750,15.6,내장
삼성전자 노트북 플러스2 NT550XDZ-AD2AW WIN10 16GB램,펜티엄 골드,16,1000,898020,1810,15.6,내장
삼성전자 노트북 플러스2 NT550XDZ-AD2AW WIN10,펜티엄 골드,4,256,679000,1810,15.6,내장
레노버 아이디어패드 Slim3-15IML PWS,펜티엄 골드,4,128,443352,1630,15.6,내장
삼성전자 노트북5 NT550EBE-K24BS 8GB램,펜티엄 골드,8,128,635200,1900,15.6,내장
HP 14s-cf2056TU WIN10 16GB램,펜티엄 골드,16,500,669750,1430,14,내장
삼성전자 노트북 플러스 NT550XCJ-KC24W 8GB램,펜티엄 골드,8,256,699200,1810,15.6,내장
삼성전자 노트북5 NT550EAZ-AD2A WIN10,펜티엄 골드,4,128,650070,1900,15.6,내장
삼성전자 노트북5 NT550EBE-K28WS,펜티엄 골드,8,256,778990,1900,15.6,내장
레노버 아이디어패드 Slim3-14IML PWS 81WA00A5KR,펜티엄 골드,4,128,443310,1500,14,내장
삼성전자 노트북5 NT550EAA-K28W,펜티엄 골드,8,1000,699000,1950,15.6,내장
HP 14s-cf2055TU WIN10 8GB램,펜티엄 골드,8,128,516980,1430,14,내장
삼성전자 노트북 플러스 NT550XCJ-KC24W,펜티엄 골드,4,256,800000,1810,15.6,내장
삼성전자 노트북5 metal NT560XAZ-AD2A WIN10,펜티엄 골드,4,128,886170,1900,15.6,내장
삼성전자 2019 노트북 Pen NT930QBV-A28A WIN10,펜티엄 골드,8,256,1538990,995,13.3,내장
삼성전자 노트북5 NT550EBA-K24,펜티엄 골드,4,128,749990,1900,15.6,내장
삼성전자 노트북9 metal NT900X5J-K28,펜티엄 골드,8,256,1075620,1290,15,내장
LG전자 2020 그램14 14Z995-LR20K,펜티엄 골드,4,256,1092860,995,14,내장
삼성전자 2018 노트북 Pen NT930QAA-K28WA,펜티엄 골드,8,128,1497300,1000,13.3,내장
삼성전자 노트북3 NT300E5M-K24A,펜티엄 골드,4,128,713490,1980,15.6,내장
삼성전자 노트북5 metal NT550XAA-K28T,펜티엄 골드,8,1000,827990,1950,15.6,내장
삼성전자 노트북 플러스2 NT550XDA-KH28G,펜티엄 골드,8,256,985000,1810,15.6,내장
LG전자 2019 울트라PC 15U590-LR26K 12GB램,펜티엄 골드,12,500,770800,1750,15.6,내장
삼성전자 노트북5 NT550EBA-K28B,펜티엄 골드,8,1000,699000,1950,15.6,내장
삼성전자 2019 노트북9 Always NT950XBE-K28W,펜티엄 골드,8,256,1840000,1250,15,내장
HP 14s-cf2055TU WIN10 16GB램,펜티엄 골드,16,500,873030,1430,14,내장
삼성전자 노트북5 NT550EBV-AD2A WIN10,펜티엄 골드,4,128,721140,1900,15.6,내장
삼성전자 노트북5 NT550EBE-K28B,펜티엄 골드,8,1000,699000,1950,15.6,내장
삼성전자 노트북5 NT550EBE-K24B,펜티엄 골드,4,500,699000,1950,15.6,내장
삼성전자 노트북5 NT550EBZ-AD2A WIN10,펜티엄 골드,4,128,711000,1900,15.6,내장
삼성전자 노트북 플러스2 NT550XDA-KH29G,펜티엄 골드,8,256,1019000,1810,15.6,내장
삼성전자 2017 노트북9 Always NT900X3N-KSF,펜티엄 골드,4,128,999000,799,13.3,내장
레노버 아이디어패드 Slim3-17IML PD WIN10,펜티엄 골드,4,128,553120,2450,17.3,내장
